0.15,1,0.1,122,37,53,4.83,1.0,4.0,94.0,tree_top,6.75714285714,2.0,7.4,94.0,tree_top,1.31428571429,1.0,2.0,5.0,tree_top,12.2,4.0,19.2,94.0,tree_top
0.15,1,0.1,122,37,52,1.66,0.0,1.0,31.0,tree_top,2.25714285714,0.0,1.0,31.0,tree_top,0.323529411765,0.0,1.0,2.0,tree_top,4.08333333333,0.0,5.0,31.0,tree_top
0.15,1,0.1,122,37,51,18.06,1.0,35.2,279.0,tree_top,25.4714285714,2.5,42.6,279.0,tree_top,0.176470588235,0.0,0.0,2.0,tree_top,49.3611111111,37.5,58.0,279.0,tree_top
0.15,1,0.1,122,37,50,2.04,1.0,2.2,27.0,tree_top,2.8,1.0,4.0,27.0,tree_top,0.62962962963,1.0,1.0,3.0,tree_top,4.16279069767,2.0,5.0,27.0,tree_top
0.15,1,0.1,122,36,54,1.08,0.0,1.0,14.0,tree_top,1.41428571429,1.0,2.0,14.0,tree_top,0.757575757576,1.0,1.0,3.0,tree_top,2.0,0.0,3.0,14.0,tree_top
0.15,1,0.1,122,36,53,24.87,1.0,36.4,412.0,tree_top,35.4142857143,4.5,54.0,412.0,tree_top,0.310344827586,0.0,1.0,1.0,tree_top,60.243902439,36.0,87.0,412.0,tree_top
0.15,1,0.1,122,36,52,3.88,1.0,6.2,44.0,tree_top,4.28571428571,1.0,7.0,44.0,tree_top,0.35,0.0,1.0,2.0,tree_top,9.53333333333,5.5,14.4,44.0,tree_top
0.15,1,0.1,122,36,51,1.41,0.0,2.2,18.0,tree_top,1.9,1.0,3.2,18.0,tree_top,0.466666666667,0.0,1.0,3.0,tree_top,2.975,2.0,5.0,18.0,tree_top
0.15,1,0.1,122,36,50,3.45,1.0,2.0,91.0,tree_top,4.77142857143,1.0,4.4,91.0,tree_top,0.813953488372,1.0,1.0,2.0,tree_top,11.0740740741,6.0,12.0,91.0,tree_top
0.15,1,0.1,122,35,54,2.89,0.0,2.2,41.0,tree_top,3.92857142857,1.0,6.0,41.0,tree_top,0.342857142857,0.0,1.0,2.0,tree_top,7.51428571429,3.0,13.0,41.0,tree_top
0.15,1,0.1,122,35,53,1.45,1.0,2.0,12.0,tree_top,2.01428571429,1.0,3.0,12.0,tree_top,0.75,1.0,1.0,3.0,tree_top,3.35294117647,3.0,5.4,12.0,tree_top
0.15,1,0.1,122,35,52,5.72,1.0,5.4,87.0,tree_top,8.02857142857,1.0,10.0,87.0,tree_top,0.896551724138,1.0,1.0,2.0,tree_top,13.0731707317,5.0,24.0,87.0,tree_top
