gravity,score,death
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_bot
4.0,1.0,off_bot
4.0,0.0,tree_bot
1.0,1.0,tree_top
4.0,0.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
4.0,3.0,off_bot
4.0,1.0,off_bot
1.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,3.0,tree_bot
4.0,3.0,off_bot
1.0,2.0,off_bot
4.0,4.0,tree_top
1.0,0.0,tree_top
1.0,2.0,tree_top
4.0,5.0,tree_bot
4.0,1.0,off_bot
1.0,0.0,tree_top
4.0,2.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
4.0,5.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,8.0,off_bot
1.0,1.0,tree_top
4.0,8.0,tree_top
1.0,2.0,tree_top
4.0,16.0,tree_bot
1.0,1.0,tree_bot
4.0,20.0,tree_bot
1.0,2.0,off_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,3.0,off_bot
1.0,1.0,tree_top
4.0,3.0,tree_bot
1.0,2.0,tree_top
4.0,18.0,tree_top
4.0,4.0,off_bot
1.0,1.0,tree_top
1.0,1.0,off_top
4.0,3.0,tree_bot
4.0,3.0,off_bot
1.0,1.0,tree_top
1.0,1.0,off_top
4.0,53.0,tree_top
4.0,28.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,10.0,tree_top
4.0,0.0,tree_top
4.0,11.0,tree_top
1.0,1.0,tree_top
1.0,1.0,off_top
4.0,50.0,tree_bot
1.0,0.0,tree_top
4.0,65.0,tree_top
4.0,12.0,tree_top
1.0,1.0,tree_top
4.0,14.0,tree_top
4.0,15.0,tree_top
1.0,0.0,tree_top
4.0,16.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,8.0,tree_bot
4.0,11.0,tree_top
4.0,41.0,tree_top
4.0,4.0,tree_top
4.0,8.0,tree_top
4.0,12.0,tree_top
4.0,36.0,tree_top
4.0,31.0,tree_top
1.0,1.0,tree_top
4.0,3.0,tree_top
4.0,3.0,tree_top
4.0,14.0,tree_top
4.0,19.0,tree_top
1.0,0.0,tree_top
4.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,42.0,tree_top
